master_id,language,review_text,title,rating,sentiment,category,designation,company,date,source
MR-2000,English,Living in air-conditioned Singapore means dry skin for babies. Aveeno's oat formula keeps my daughter's skin hydrated without any greasy residue.,Perfect for dry climate,5,Positive,Baby Care,,,,
MR-2001,English,"Tracks items. Works with Find My. Nothing more, nothing less. If you're in the Apple ecosystem and lose things, it's fine. Not life-changing for me personally.",Does what it says,3,Neutral,Technology,,,,
MR-2002,English,The community at AbsoluteYou is what keeps me coming back. Made friends in class and the WhatsApp group is active and welcoming.,Friendly community,5,Positive,Fitness Center,,,,
MR-2003,English,Just retired my pair after over 500 miles of running. They lasted well and the cushioning held up far longer than expected. Buying the same model again.,Durable after 500+ miles,5,Positive,Footwear,,,,
MR-2004,English,"Love the locker rooms, the showers are spotless, and the staff at the counter always greet you by name after your first visit. Small touches that make a big difference.",Excellent facilities and vibes,5,Positive,Fitness Center,,,,
MR-2005,English,"No app to learn, no complicated setup. Just works. Been using four AirTags for 18 months with zero issues.",Simple and reliable,4,Positive,Technology,,,,
MR-2006,English,"This product smells nice, is well packaged and doesn't seem to hurt my baby's eyes, but I have noticed it exacerbates the eczema on my hands pretty badly. His skin also seems pretty dry afterwards if I don't use a heavy lotion after baths. Clearly other people have had better experiences though, so maybe you'll have better luck.","This product smells nice, is well...",1,Negative,Baby Care,,,,
MR-2007,English,"Coming from heavier training shoes, the weight difference is remarkable. Feel more responsive and quicker on my feet. Noticed improved pace on tempo runs.",Lightweight and responsive,5,Positive,Footwear,,,,
MR-2008,English,"Compared to the cost of replacing lost items, the AirTag is extremely cost-effective. Highly recommend for anyone who travels frequently.",Excellent value for peace of mind,4,Positive,Technology,,,,
MR-2009,English,"The popular instructors' classes fill up within minutes of opening. Unless you're glued to your phone at exactly the right time, you won't get in.",Hard to book popular classes,1,Negative,Fitness Center,,,,
MR-2010,English,"Had a few sessions here. Nothing was wrong per se but nothing particularly stood out either. Instructors are okay, location is convenient.",Average experience,3,Neutral,Fitness Center,,,,
MR-2011,English,"Premium price but premium experience. The instructors genuinely care about your progress. Got stronger, fitter, and more flexible in three months.",Worth every cent,5,Positive,Fitness Center,,,,
MR-2012,English,"No app to learn, no complicated setup. Just works. Been using four AirTags for 18 months with zero issues.",Simple and reliable,4,Positive,Technology,,,,
MR-2013,English,The pump mechanism snapped after three uses. Had to pour from the bottle which is messy especially with a slippery baby. Poor design for the price.,Pump dispenser broke immediately,2,Negative,Baby Care,,,,
MR-2014,English,"I've been a loyal fan of Apple devices for decades, but it's important to understand that the AirTag is NOT a GPS tracker, and therefore may not be the best option for keeping on your pets to find in the event they become lost.  While it's conveniently set up on the Find My network, it works ONLY with Apple devices, and the Find My network range is limited because it relies on other Apple devices in the area to relay the AirTag's location.  So if you're in a rural or remote area with no other or limited Apple devices around, the AirTag will be difficult to locate, if at all.",I've been a loyal fan of...,5,Positive,Technology,,,,
MR-2015,English,I used this on my baby and now toddler. Works great!,I used this on my baby...,4,Positive,Baby Care,,,,
MR-2016,English,"I’ve absolutely loved my time here - for spin or Pilates. Instructors are so encouraging, and the ambience is really good too! Front desk staff are especially helpful :)",I’ve absolutely loved my time here...,4,Positive,Fitness Center,,,,
MR-2017,English,Love the shoes will buy again..,Love the shoes will buy again..,5,Positive,Footwear,,,,
MR-2018,English,Living in air-conditioned Singapore means dry skin for babies. Aveeno's oat formula keeps my daughter's skin hydrated without any greasy residue.,Perfect for dry climate,5,Positive,Baby Care,,,,
MR-2019,English,"For the price of the membership, I expected more class variety and better-maintained equipment. Some bikes squeak badly and haven't been fixed despite complaints.",Expensive for what you get,2,Negative,Fitness Center,,,,
MR-2020,English,Realised after buying that you need an iPhone for full functionality. iPad-only users get a degraded experience. Should be clearer in the marketing.,Only works with iPhone,1,Negative,Technology,,,,
MR-2021,English,"I think they are great. I put one in each of my granddaughters backpack. The one thing that I was disappointed in is it tells you starting point but it does not let you know where they are in between. And then when they arrive, I’ll let you know where they are.",I think they are great. I...,3,Neutral,Technology,,,,
MR-2022,English,Works fine but at double the price of store-brand baby wash with similar ingredients. Not sure the premium is justified unless your baby has specific skin issues.,Pricey compared to alternatives,2,Negative,Baby Care,,,,
MR-2023,English,"I use air tags on all my expensive road bikes.  as long as there's an apple device that pass by my bike about 30ft away the Find My Device on my iPhone will tell me where my bike is exactly located down to the addresss.  I left my bike at a repair shop and all week the air tag show my bike was at the bike shop.  If there are no Apple device that pass by my bike then it will not tell me where my bike is though, but that would be very rare because there are many iPhone users everywhere.  Air Tag is not compatible with Android phones.",I use air tags on all...,3,Neutral,Technology,,,,
MR-2024,English,We bought this for our grandson as a gift for Christmas.  He was thrilled with it.  He travels quite a bit and wanted it for his luggage.  He's very happy with it.,We bought this for our grandson...,4,Positive,Technology,,,,
MR-2025,English,Living in air-conditioned Singapore means dry skin for babies. Aveeno's oat formula keeps my daughter's skin hydrated without any greasy residue.,Perfect for dry climate,5,Positive,Baby Care,,,,
MR-2026,English,"Solid, compact, IP67 water resistance. I accidentally put one through a full washing machine cycle and it still works perfectly.",Good build quality,4,Positive,Technology,,,,
MR-2027,English,Got it for my daughter because she would always i mean always lose her cars and it would cost alot to replace it!! Finally got her one and it's been great,Got it for my daughter because...,4,Positive,Technology,,,,
MR-2028,English,"Finally, my skin can feel good with this!","Finally, my skin can feel good...",4,Positive,Baby Care,,,,
MR-2029,English,The size is generous and a little goes a long way. Been using the same bottle for two months with daily baths and it's still going strong.,Huge bottle great value,4,Positive,Baby Care,,,,
MR-2030,English,"Premium price but premium experience. The instructors genuinely care about your progress. Got stronger, fitter, and more flexible in three months.",Worth every cent,5,Positive,Fitness Center,,,,
MR-2031,English,"The Apple AirTag is a useful and straightforward solution for keeping track of my belongings. Setting it up was quick and simple—just a tap to connect with my iPhone, and I was good to go. Its sleek and compact design makes it easy to attach to items like keys, bags, or even my wallet.The location tracking is precise, and the Find My app provides a clear view of the item’s location. When I need to locate something nearby, the Precision Finding feature is especially helpful. It uses haptic feedback and on-screen directions to guide me to the exact spot. The sound the AirTag emits is also loud enough to hear from a distance, which makes it easier to find items when they’re buried or hidden.The battery life is impressive, and the AirTag uses a replaceable CR2032 coin cell battery, so there’s no need to replace the whole device when the battery runs low. It’s also water and dust-resistant, which adds to its durability for everyday use.While the AirTag works well for finding nearby items, if it’s far out of Bluetooth range, it depends on the broader Apple network to help locate it, which works most of the time but isn’t quite as immediate as I’d prefer in some situations.Satisfaction with Packaging: The packaging was secure, and the setup was straightforward without any issues.Likelihood of Recommending: I would recommend the AirTag to anyone who wants an easy, reliable way to track their belongings.Price Reasonableness: The price is on the higher side for a small tracker, but the quality and seamless integration with the Apple ecosystem make it a worthwhile investment.",The Apple AirTag is a useful...,5,Positive,Technology,,,,
MR-2032,English,I've tried multiple spin studios across Singapore and AbsoluteYou stands out for its instructor quality and music selection. The community here feels genuinely supportive.,Best spin classes in the city,5,Positive,Fitness Center,,,,
MR-2033,English,"Used this from day one for our twins. Their skin stayed soft and hydrated even in dry winter months. The scent is subtle and clean, not overpowering.",Amazing for newborns,5,Positive,Baby Care,,,,
MR-2034,English,"Tracks items. Works with Find My. Nothing more, nothing less. If you're in the Apple ecosystem and lose things, it's fine. Not life-changing for me personally.",Does what it says,3,Neutral,Technology,,,,
MR-2035,English,Does exactly what a baby wash should do: cleans gently without stripping natural moisture. Baby's skin feels soft after every bath and not tight or dry.,Gentle and effective,4,Positive,Baby Care,,,,
MR-2036,English,Our doctor specifically recommended Aveeno for our son's sensitive skin. It's hypoallergenic and the oat extract genuinely soothes irritation. Will use until he's old enough for regular soap.,Pediatrician recommended,5,Positive,Baby Care,,,,
MR-2037,English,Raised a concern about a safety issue in class and it took three follow-ups to get any response. Customer care needs improvement.,Management unresponsive,2,Negative,Fitness Center,,,,
MR-2038,English,Long-time user and the scent seems different from what I remember. Hoping it's not a formula change. Slightly concerned but will monitor baby's skin reaction.,Scent changed from original formula,2,Negative,Baby Care,,,,
MR-2039,English,Took nearly three weeks to break in properly. Had blisters in week one. Expected better out-of-the-box comfort from a premium Nike model.,Too stiff initially,2,Negative,Footwear,,,,
MR-2040,English,"Used this from day one for our twins. Their skin stayed soft and hydrated even in dry winter months. The scent is subtle and clean, not overpowering.",Amazing for newborns,5,Positive,Baby Care,,,,
MR-2041,English,Works fine but at double the price of store-brand baby wash with similar ingredients. Not sure the premium is justified unless your baby has specific skin issues.,Pricey compared to alternatives,2,Negative,Baby Care,,,,
MR-2042,English,Had to cancel last minute due to illness and was charged the full late-cancel fee. A bit rigid for a premium studio. Policy should have more flexibility.,Poor cancellation policy,2,Negative,Fitness Center,,,,
MR-2043,English,"The Apple AirTag is a lifesaver! Setup took seconds, and the Precision Finding feature makes locating my keys effortless. The battery lasts a year, and it's water-resistant, so no worries about spills. I only wish it had a built-in keyring hole, but that’s a small downside. If you lose things often, this is a must-have!",The Apple AirTag is a lifesaver...,3,Neutral,Technology,,,,
MR-2044,English,"I am a regular attendee of Absolute Cycle and love their brilliant classes, friendly staff and stellar instructors! Special shoutout to the incomporable Una!",I am a regular attendee of...,4,Positive,Fitness Center,,,,
MR-2045,English,The rental cycling shoes are old and don't fit well. Several sizes missing and the velcro is worn out. Should invest in new equipment.,Shoes uncomfortable,2,Negative,Fitness Center,,,,
MR-2046,English,We’ve been using this Aveeno Baby Wash for two years now. We like it because it has a soft smell and can be used as both a shampoo and as a body wash. We actually switched to this brand when our son started showing some skin sensitivity and it really helped. He doesn’t have any more skin sensitivity but we will continue to use it anyway. We recommend!,We’ve been using this Aveeno Baby...,3,Neutral,Baby Care,,,,
MR-2047,English,"Had my first spin after much persuasion from my friends back in September 2019. I must say it did not disappoint!!! My first few class, the instructors were very encouraging and helpful to beginners like me. And have always enjoyed every class that I have!Staff was friendly and helpful, always greet you with your name. Bikes were clean ! Can’t find things to complain about this place. I super love ABSOLUTE!",Had my first spin after much...,3,Neutral,Fitness Center,,,,
MR-2048,English,"These shoes do what running shoes should do. No complaints, no praise. Comfortable, reasonably priced, reasonable durability. A solid B-grade product.",Functional and nothing more,3,Neutral,Footwear,,,,
MR-2049,English,"The outsole began separating at the heel after about 90 days of regular use. For the price I expected better durability. Contacted Nike support, still waiting for a response.",Sole started peeling after 3 months,1,Negative,Footwear,,,,
MR-2050,English,Tile and Samsung tracker both failed me in the past. AirTag with the Apple network is just denser and more reliable in urban Singapore. No comparison.,Works where others fail,5,Positive,Technology,,,,
MR-2051,English,"Premium price but premium experience. The instructors genuinely care about your progress. Got stronger, fitter, and more flexible in three months.",Worth every cent,5,Positive,Fitness Center,,,,
MR-2052,English,"For the price of the membership, I expected more class variety and better-maintained equipment. Some bikes squeak badly and haven't been fixed despite complaints.",Expensive for what you get,2,Negative,Fitness Center,,,,
MR-2053,English,Every instructor here brings genuine expertise and enthusiasm. You never feel like you're just another number in the class. Highly recommend the foundation series.,Top-notch instructors,5,Positive,Fitness Center,,,,
MR-2054,English,Perfect for babies with sensitive skin like mine!,Perfect for babies with sensitive skin...,4,Positive,Baby Care,,,,
MR-2055,English,The shower curtains offer very little privacy and the area gets congested during peak hours. Would appreciate better facilities for the price.,Shower situation is not ideal,2,Negative,Fitness Center,,,,
MR-2056,English,The responsiveness described in the marketing is somewhat exaggerated. Fine shoe for the price but not the performance upgrade I was hoping for.,Good but not as advertised,3,Neutral,Footwear,,,,
MR-2057,English,Used Aveeno Baby with my first child six years ago and it was great. Now using it with my second and the quality is just as good. Trustworthy brand.,Consistent quality over years,4,Positive,Baby Care,,,,
MR-2058,English,"As someone new to reformer pilates, the coaches were patient and made sure my form was correct throughout. Felt sore in all the right places after my first session!",Great for beginners,5,Positive,Fitness Center,,,,
MR-2059,English,Just retired my pair after over 500 miles of running. They lasted well and the cushioning held up far longer than expected. Buying the same model again.,Durable after 500+ miles,5,Positive,Footwear,,,,
MR-2060,English,"Love the locker rooms, the showers are spotless, and the staff at the counter always greet you by name after your first visit. Small touches that make a big difference.",Excellent facilities and vibes,5,Positive,Fitness Center,,,,
MR-2061,English,my baby favorite,my baby favorite,3,Neutral,Baby Care,,,,
MR-2062,English,The spin classes are good but the pilates felt rushed. Studio is clean and staff are polite. Pricing is on the higher end for what you get.,Mixed feelings,3,Neutral,Fitness Center,,,,
MR-2063,English,"The monthly membership is fair for what you get—unlimited classes, clean facilities, and professional instructors. Way better than the big chain gyms.",Good value membership,4,Positive,Fitness Center,,,,
MR-2064,English,Third time purchasing and the pump failed again within a week. This is a known issue. Please fix the dispensing mechanism.,Clogged pump again,1,Negative,Baby Care,,,,
MR-2065,English,"The monthly membership is fair for what you get—unlimited classes, clean facilities, and professional instructors. Way better than the big chain gyms.",Good value membership,4,Positive,Fitness Center,,,,
MR-2066,English,The responsiveness described in the marketing is somewhat exaggerated. Fine shoe for the price but not the performance upgrade I was hoping for.,Good but not as advertised,3,Neutral,Footwear,,,,
MR-2067,English,Does exactly what a baby wash should do: cleans gently without stripping natural moisture. Baby's skin feels soft after every bath and not tight or dry.,Gentle and effective,4,Positive,Baby Care,,,,
MR-2068,English,Great concept but way too many people in each class. The bikes are so close together you can barely move. Needs better capacity management.,Overcrowded classes,2,Negative,Fitness Center,,,,
MR-2069,English,"If you frequently lose things the AirTag is great. If you don't, it'll sit unused. Consider whether you genuinely need it before buying.",Useful but niche,3,Neutral,Technology,,,,
MR-2070,English,"Usually need a break-in period but these fit perfectly from day one. True to size, great arch support, and the lightweight design is noticeable on long runs.",Perfect fit right out of the box,5,Positive,Footwear,,,,
MR-2071,English,"For the performance and build quality, the price is very reasonable. Have owned three pairs of Nike running shoes and the quality remains consistent.",Excellent value,4,Positive,Footwear,,,,
MR-2072,English,When the item is out of Bluetooth range you depend entirely on crowd-sourced updates which can be slow. Need to be near an Apple device for updates.,Short Bluetooth range,2,Negative,Technology,,,,
MR-2073,English,"Attached AirTags to my keys, wallet, and luggage. Found my keys under the sofa cushion in seconds using Precision Finding. Worth every penny.",Never lose anything again,5,Positive,Technology,,,,
MR-2074,English,Long-time user and the scent seems different from what I remember. Hoping it's not a formula change. Slightly concerned but will monitor baby's skin reaction.,Scent changed from original formula,2,Negative,Baby Care,,,,
MR-2075,English,Long-time user and the scent seems different from what I remember. Hoping it's not a formula change. Slightly concerned but will monitor baby's skin reaction.,Scent changed from original formula,2,Negative,Baby Care,,,,
MR-2076,English,"Workouts are effective if you push yourself. The atmosphere depends a lot on who else is in class that day. Some days great, some days quiet.",It's okay,3,Neutral,Fitness Center,,,,
MR-2077,English,"The monthly membership is fair for what you get—unlimited classes, clean facilities, and professional instructors. Way better than the big chain gyms.",Good value membership,4,Positive,Fitness Center,,,,
MR-2078,English,"It's a baby wash. Baby gets clean, no reactions, decent size. Nothing magical about it but nothing bad either. Would buy again if on sale.",Does the job,3,Neutral,Baby Care,,,,
MR-2079,English,"The class schedule is well-designed for working adults with early morning, lunch, and evening slots. I can always find a class that fits my day.",Great for busy professionals,4,Positive,Fitness Center,,,,
MR-2080,English,Raised a concern about a safety issue in class and it took three follow-ups to get any response. Customer care needs improvement.,Management unresponsive,2,Negative,Fitness Center,,,,
MR-2081,English,I constantly am dropping my purse different places around the house and spend more time looking for it so this has been a great help in locating it quickly as I’m headed out the door. Would highly recommend to help people,I constantly am dropping my purse...,5,Positive,Technology,,,,
MR-2082,English,"As a first time customer who bought the trial package, the booking system is absolutely horrible. There are absolutely NO available classes for booking everything is on waitlist. Even if I login to try to reserve a class at 10pm, the whole app hangs and is super laggy. When the app is finally able to load, every class that I can attend is on waitlist",As a first time customer who...,2,Negative,Fitness Center,,,,
MR-2083,English,"If you frequently lose things the AirTag is great. If you don't, it'll sit unused. Consider whether you genuinely need it before buying.",Useful but niche,3,Neutral,Technology,,,,
MR-2084,English,"Oat extract, no parabens, no sulfates. As a parent who reads ingredient lists carefully, Aveeno Baby ticks all the right boxes.",Love the natural ingredients,5,Positive,Baby Care,,,,
MR-2085,English,"Baby rubbed her eyes mid-bath and didn't react at all. The tear-free formula is genuinely mild. No crying, no redness. A real relief.",Tear-free formula actually works,5,Positive,Baby Care,,,,
MR-2086,English,"The class schedule is well-designed for working adults with early morning, lunch, and evening slots. I can always find a class that fits my day.",Great for busy professionals,4,Positive,Fitness Center,,,,
MR-2087,English,Nike has made better shoes at this price point in previous years. These are fine but feel like a slight step back in terms of innovation. Still comfortable.,Average for the brand,3,Neutral,Footwear,,,,
MR-2088,English,"The outsole began separating at the heel after about 90 days of regular use. For the price I expected better durability. Contacted Nike support, still waiting for a response.",Sole started peeling after 3 months,1,Negative,Footwear,,,,
MR-2089,English,I've tried multiple spin studios across Singapore and AbsoluteYou stands out for its instructor quality and music selection. The community here feels genuinely supportive.,Best spin classes in the city,5,Positive,Fitness Center,,,,
MR-2090,English,"I love how seamlessly the AirTag connects to the iPhone. I put one on my keys, and it makes finding them so easy. When I first bought one as a gift, we even turned it into a fun game—one person would hide it, and the other would use the tracking to find it, like a mini scavenger hunt! Just add the AirTag to the Find My app, and it literally guides you to it, even showing how many feet away you are. Plus, you can play a sound when you’re close to help locate it faster. Such a lifesaver!",I love how seamlessly the AirTag...,5,Positive,Technology,,,,
MR-2091,English,"As someone new to reformer pilates, the coaches were patient and made sure my form was correct throughout. Felt sore in all the right places after my first session!",Great for beginners,5,Positive,Fitness Center,,,,
MR-2092,English,"Struggled with cradle cap for months. After using this wash regularly, the flakiness cleared up significantly. Gentle enough for daily use.",No more cradle cap,5,Positive,Baby Care,,,,
MR-2093,English,"Do not recommend anyone to purchase any packages from them. The booking system is a issue. I bought the trial package and every week I am unable to book for any classes. When the slot release, it is always fully booked. Why offer trial packages when the classes are always booked ? Others do not have a fair chance to book for classes. Feel like this is a scam and it is not honest of them to do this to customers. Had emailed them regarding this issue and hope to resolve this issue.",Do not recommend anyone to purchase...,3,Neutral,Fitness Center,,,,
MR-2094,English,The app crashes constantly and I've lost my spot twice because of technical glitches. Customer service was apologetic but didn't solve the issue.,Booking system is frustrating,1,Negative,Fitness Center,,,,
MR-2095,English,Raised a concern about a safety issue in class and it took three follow-ups to get any response. Customer care needs improvement.,Management unresponsive,2,Negative,Fitness Center,,,,
MR-2096,English,The U1 chip precision finding is genuinely impressive. It guides you directionally to within centimeters of your item. Nothing else on the market does this.,Precision Finding is incredible,5,Positive,Technology,,,,
MR-2097,English,I was hesitant to join a boutique studio but AbsoluteYou proved me wrong completely. The personalized attention in each class and the sense of community has kept me consistent for six months now.,Transformed my fitness,5,Positive,Fitness Center,,,,
MR-2098,English,"Set up four AirTags for our family—keys, school bags, and the family car. Everyone can see their own items on their phones. Setup was incredibly simple.",Great for family use,4,Positive,Technology,,,,
MR-2099,English,The pilates reformer classes here are thorough and challenging. The instructor always takes time to correct individual form which I really appreciate.,Love the pilates,4,Positive,Fitness Center,,,,
MR-2100,English,"Struggled with cradle cap for months. After using this wash regularly, the flakiness cleared up significantly. Gentle enough for daily use.",No more cradle cap,5,Positive,Baby Care,,,,
MR-2101,English,"Usually need a break-in period but these fit perfectly from day one. True to size, great arch support, and the lightweight design is noticeable on long runs.",Perfect fit right out of the box,5,Positive,Footwear,,,,
MR-2102,English,"Compared to the cost of replacing lost items, the AirTag is extremely cost-effective. Highly recommend for anyone who travels frequently.",Excellent value for peace of mind,4,Positive,Technology,,,,
MR-2103,English,Just retired my pair after over 500 miles of running. They lasted well and the cushioning held up far longer than expected. Buying the same model again.,Durable after 500+ miles,5,Positive,Footwear,,,,
MR-2104,English,Scam! Don’t purchase any packages or trial classes! They will just take your money and you are not able to book any class. Only few slots for you to fight like dogs. Always no slot and the customer service is terrible. Will give 0 star if I can,Scam! Don’t purchase any packages or...,2,Negative,Fitness Center,,,,
MR-2105,English,"Works as expected for a baby wash. Gentle, rinses clean. The scent is faint. Can't say it's better than other quality baby washes I've tried.",Good but not outstanding,3,Neutral,Baby Care,,,,
MR-2106,English,Switched from a competitor brand and the difference in cushioning is night and day. My knees feel better after long runs and the breathability is excellent.,Best running shoes I've owned,5,Positive,Footwear,,,,
MR-2107,English,"Coming from heavier training shoes, the weight difference is remarkable. Feel more responsive and quicker on my feet. Noticed improved pace on tempo runs.",Lightweight and responsive,5,Positive,Footwear,,,,
MR-2108,English,Summer running is much more comfortable in these. The mesh upper keeps feet cool and I haven't experienced any hotspots or blisters after the first wear.,Breathable upper,5,Positive,Footwear,,,,
MR-2109,English,Useful occasionally but most of the time I just remember where I left things. Maybe more useful for people who travel frequently or have kids.,Mixed value proposition,3,Neutral,Technology,,,,
MR-2110,English,Ordered my usual size 10 and they were tight across the toe box. Had to exchange for 10.5. Nike should update their size guide for this model.,Sizing runs small,2,Negative,Footwear,,,,
MR-2111,English,"I wish Apple tags were cheaper I love having them on my keys, my kid, the pets, in our suitcases",I wish Apple tags were cheaper...,4,Positive,Technology,,,,
MR-2112,English,"Clean bikes, good sound system, and instructors who actually push you without being aggressive about it. Perfect for my lunch break workouts.",Solid spin studio,4,Positive,Fitness Center,,,,
MR-2113,English,Attached one to my dog's collar with a holder. When she escaped the yard I tracked her to a neighbor's garden within minutes. Lifesaver.,Great for pets,5,Positive,Technology,,,,
MR-2114,English,The shower curtains offer very little privacy and the area gets congested during peak hours. Would appreciate better facilities for the price.,Shower situation is not ideal,2,Negative,Fitness Center,,,,
MR-2115,English,"Works as expected for a baby wash. Gentle, rinses clean. The scent is faint. Can't say it's better than other quality baby washes I've tried.",Good but not outstanding,3,Neutral,Baby Care,,,,
MR-2116,English,"Despite the marketing and recommendations, my son's eczema didn't improve. Every baby is different—this may work for others but didn't for us.",Didn't help with eczema,1,Negative,Baby Care,,,,
MR-2117,English,The size is generous and a little goes a long way. Been using the same bottle for two months with daily baths and it's still going strong.,Huge bottle great value,4,Positive,Baby Care,,,,
MR-2118,English,Does what it's supposed to. Baby stays clean and doesn't cry during bath time. Haven't noticed any special skin benefits but no reactions either.,Adequate baby wash,3,Neutral,Baby Care,,,,
MR-2119,English,Paid for 10 classes but the expiry was only 30 days. Fell ill for a week and couldn't use them all. Inflexible and customer-unfriendly policy.,Package expiry is too short,1,Negative,Fitness Center,,,,
MR-2120,English,"My newborn had eczema flare-ups with other brands. Switched to Aveeno Baby and within two weeks her skin improved dramatically. Gentle, effective, and no nasty ingredients.",Perfect for sensitive baby skin,5,Positive,Baby Care,,,,
MR-2121,English,"For the performance and build quality, the price is very reasonable. Have owned three pairs of Nike running shoes and the quality remains consistent.",Excellent value,4,Positive,Footwear,,,,
MR-2122,English,"Works great in urban areas where many Apple devices are around. In rural areas, the crowd-sourced network is sparse and location updates are slow.",Limited crowd-sourced network outside cities,2,Negative,Technology,,,,
MR-2123,English,"Style, quality, and still available after my first purchase of the same shoe in 2020!!!😉","Style, quality, and still available after...",3,Neutral,Footwear,,,,
MR-2124,English,"Doctor recommended this for my toddler's eczema. Combined with the Aveeno lotion, it's been transformative. Skin stays calm and moisturized.",Great for eczema-prone skin,5,Positive,Baby Care,,,,
MR-2125,English,"If you're in the Apple ecosystem, the AirTag is a no-brainer. Setup took under a minute and the Find My integration is flawless.",Seamless Apple ecosystem integration,5,Positive,Technology,,,,
MR-2126,English,When the item is out of Bluetooth range you depend entirely on crowd-sourced updates which can be slow. Need to be near an Apple device for updates.,Short Bluetooth range,2,Negative,Technology,,,,
MR-2127,English,My baby has a sensitive skin. Aveeno products suits him. These are good for dry and sensitive skin and biggest plus is without strong fragrance.,My baby has a sensitive skin...,5,Positive,Baby Care,,,,
MR-2128,English,Used Aveeno Baby with my first child six years ago and it was great. Now using it with my second and the quality is just as good. Trustworthy brand.,Consistent quality over years,4,Positive,Baby Care,,,,
MR-2129,English,Summer running is much more comfortable in these. The mesh upper keeps feet cool and I haven't experienced any hotspots or blisters after the first wear.,Breathable upper,5,Positive,Footwear,,,,
MR-2130,English,"You go there to buy a package but is treated as a burden. You ask a question and instead of her using her mind to answer you, you get faces and a big blur. Does she not understand her own system to be able to explain? What she wants is no question at all and just payment. After firmly telling her you don’t appreciate her attitude she acuse you of yelling. Really??ZERO basic customer service to as simple as buying package.",You go there to buy a...,3,Neutral,Fitness Center,,,,
MR-2131,English,"No app to learn, no complicated setup. Just works. Been using four AirTags for 18 months with zero issues.",Simple and reliable,4,Positive,Technology,,,,
MR-2132,English,"Love the locker rooms, the showers are spotless, and the staff at the counter always greet you by name after your first visit. Small touches that make a big difference.",Excellent facilities and vibes,5,Positive,Fitness Center,,,,
MR-2133,English,"I’m always running late or misplacing my keys, as an Apple owner this purchase was a no brainer! The set up was a breeze and only took 2 minutes from opening the box to pinging my device for the first time. I would highly recommend getting an AirTag for your valuables.",I’m always running late or misplacing...,5,Positive,Technology,,,,
MR-2134,English,"No app to learn, no complicated setup. Just works. Been using four AirTags for 18 months with zero issues.",Simple and reliable,4,Positive,Technology,,,,
MR-2135,English,I have high arches and these don't provide adequate support for me. Fine for neutral runners but not suitable for those needing significant arch correction.,Not enough arch support,2,Negative,Footwear,,,,
MR-2136,English,Living in air-conditioned Singapore means dry skin for babies. Aveeno's oat formula keeps my daughter's skin hydrated without any greasy residue.,Perfect for dry climate,5,Positive,Baby Care,,,,
MR-2137,English,Traveling with kids and luggage is stressful. Having AirTags in every bag means I can quickly confirm everything is loaded and moving with me.,Peace of mind for travel,5,Positive,Technology,,,,
MR-2138,English,Tried pilates out recently despite being an Absolute member for years (spin) and it was humbling. Never expected to ache that badly the next day. Definitely coming back for more!,Tried pilates out recently despite being...,2,Negative,Fitness Center,,,,
MR-2139,English,"I have been buying this baby wash for several years, and have always loved it, but I bought this bottle 2 months ago, and it’s already old. It has started to have a terrible smell, not pleasant like it should be.",I have been buying this baby...,3,Neutral,Baby Care,,,,
MR-2140,English,"Workouts are effective if you push yourself. The atmosphere depends a lot on who else is in class that day. Some days great, some days quiet.",It's okay,3,Neutral,Fitness Center,,,,
MR-2141,English,Have been using this for myself for years! Doesn’t dry your skin or hair !,Have been using this for myself...,3,Neutral,Baby Care,,,,
MR-2142,English,Been a member for 8 months. Classes are consistently excellent regardless of which instructor you get. The scheduling app works smoothly and booking is straightforward.,Consistent quality,4,Positive,Fitness Center,,,,
MR-2143,English,"We use these for various reason, I have one on my key ring.  However, when I cannot find them, it is really difficult to hear the find me sound.  I wish it was much louder.  Even one room over it is almost impossible to hear. Other than that they are great.",We use these for various reason...,5,Positive,Technology,,,,
MR-2144,English,Been a member for 8 months. Classes are consistently excellent regardless of which instructor you get. The scheduling app works smoothly and booking is straightforward.,Consistent quality,4,Positive,Fitness Center,,,,
MR-2145,English,"Attached AirTags to my keys, wallet, and luggage. Found my keys under the sofa cushion in seconds using Precision Finding. Worth every penny.",Never lose anything again,5,Positive,Technology,,,,
MR-2146,English,Attached one to my dog's collar with a holder. When she escaped the yard I tracked her to a neighbor's garden within minutes. Lifesaver.,Great for pets,5,Positive,Technology,,,,
MR-2147,English,On my second session. Too early to give a definitive verdict. Instructors seem competent and the facilities are clean. Will update after a full month.,Trying it out,3,Neutral,Fitness Center,,,,
MR-2148,English,Reach just in time before class and to my dismay slot given away. Didn’t know they can do such thing when I have booked the slot and to begin with I am not even late. It’s really disappointing 😔 and not to mention the booking system which is another disaster.,Reach just in time before class...,2,Negative,Fitness Center,,,,
MR-2149,English,I have high arches and these don't provide adequate support for me. Fine for neutral runners but not suitable for those needing significant arch correction.,Not enough arch support,2,Negative,Footwear,,,,
MR-2150,English,"Workouts are effective if you push yourself. The atmosphere depends a lot on who else is in class that day. Some days great, some days quiet.",It's okay,3,Neutral,Fitness Center,,,,
MR-2151,English,"Love the style of shoe, and it feels good,also my feet feel elevated...I will buy this style of Nike again soon! :)","Love the style of shoe, and...",5,Positive,Footwear,,,,
MR-2152,English,My daughter developed a mild rash after a few uses. May not work for every baby's skin type. Had to switch to an unscented alternative.,Mild allergic reaction,2,Negative,Baby Care,,,,
